date,gender,height,weight,rating,review_text
25.09.29.,,,,5,가성비 굳 좋습니다
25.09.28.,,,,5,자전거 부속품들도 포함되어있어 좋습니다.
25.09.22.,,,,4,"사이즈도 적당하고, 잘나갑니다. 고객센터의 빠르고 친절한 응대에 감사드립니다"
25.09.18.,,,,4,배터리가 오래갑니다.
25.09.17.,남성,170cm,53kg,5,제품 좋습니다.강추입니다
25.09.13.,,,,5,좋아요 가성비 좋아요
25.09.09.,,,,5,"가볍게 운동이나 산책용으로 잘 쓰고 있습니다
나름 괜찮은 것 같은데 그래도 보호장비는 차려구요"
25.09.06.,남성,171cm,71kg,4,"오르막에선 약간 딸려요. 사용거리도 생각보다는 짧아요.
하지만 가성비는 좋습니다."
25.09.04.,,,,5,사이즈좋고 잘나가요
25.09.03.,,,,5,예쁘고 잘 사용하고 있습니다
25.09.01.,남성,163cm,63kg,5,생각보다 괜찮은듯요가성비잇어요
25.08.31.,,,,5,"2번째 구매입니다.
오렌지 색상 이쁘네요.
조립은 어렵지 않았습니다.
공기압은 빠져있어서 넣어줬고 조만간 운행 해보겠습니다"
25.08.28.,,,,5,출퇴근용으로 샀는데 입문용으로 쓸만하군요!
25.08.28.,,,,5,"흔들림이 없고 적당한 속도와 밧데리 용량이 층분
합니다"
25.08.27.,남성,178cm,73kg,5,아버님들 운동하려고 샀는데 가격대비 굿입니다
25.08.26.,,,,5,여자가 타기 사이즈 좋은 것 같아요! 확실히 힘이 약하긴 하지만 저는 출퇴근용 동네마실용으로 유용하게 쓰고이써요 만족
25.08.26.,,,,5,잘나가고 핸들도안정적이예요 작지만 아주 튼튼해요
25.08.26.,남성,172cm,65kg,5,배터리 효율이 아주 좋았슴
25.08.26.,남성,,,4,가격 대비 괜찮아요....
25.08.25.,,,,4,잘 타고  있어요.
25.08.24.,남성,175cm,63kg,5,"친구에게 선물했는데 너무 만족해서 뿌듯합니다.
단거리 출퇴근용으로 좋을거 같아요 
빠른배송 감사합니다^^"
25.08.23.,남성,168cm,77kg,4,"스로틀모드손잡이로 잘못주문해서 파스킷모드손잡이로 추가로 구입하고싶다고 파스킷모드 보내달라고해서 추가결제링크로 결제햇더니 똑같이 스로틀모드손잡이 배송왔네요. 고객센터 대처가 이상한 점 빼고는 가성비로 좋은거같아요. 단 배송받은뒤 안장은 꽉조이셔야해요
안장 안조이고 탓다가 울퉁불퉁한 바닥 가니깐 안장 고정풀려버렷어요 ㅠ"
25.08.23.,여성,156cm,56kg,5,사이즈 적당히 잘맞고 속력도 나쁘지 않은데 패달을 밟아야지 스로틀을 작동할수 있어서 안전해요 단점은 패달을 밟아야지 스로틀 작동이 되서 불편할수도 있어요 가성비 좋은거 같아요. 포장도 잘됐어요
25.08.23.,남성,168cm,80kg,5,전에 같은 상품을 구매한적이있다.
25.08.13.,여성,162cm,65kg,5,자전거잘 모르는데 입문용으로 만족도 최강
25.08.12.,여성,168cm,52kg,5,첫 전기자전거 기대이상의 편안함
25.08.11.,남성,180cm,70kg,5,가격 대비 만족하고 탈 만한 수준입니다 저렴하게 타실 분들 구매해 주세요
25.08.11.,남성,171cm,74kg,4,크기가 알맞아요. 생각보다 오르막은 못 올라가지만 가격대비 괜찮다고 봅니다.
25.08.11.,,,,5,생각보다 너무 좋아요. 튼튼하고
25.08.09.,,,,5,가볍게 출퇴근 용도로 사용하고 있습니다. 매우 만족합니다
25.08.06.,남성,169cm,65kg,5,"적당히패달을 돌리면 쭉쭉밀어주네요
전기자전거 입문인데 신세계입니다
대만족 참!  오르막도 잘가요"
25.08.05.,남성,170cm,53kg,5,"제품 아주좋아요.
추천합니다."
25.08.02.,,,,5,"자전거를 탈 줄 몰라요.. 회사에서 현장까지 왔다갔다 너무 더울 거 같아 남펴니분께 사줬어요
조립할 땐 브레이크가 엄네 밧데리 도둑맞겄네 궁시렁 되더니 타보시더니 야~ 빠르다야 내 잡아봐라 하시네요 잘한거 맞죠^^;"
25.08.02.,남성,161cm,52kg,4,잘 탔어요. 모터가 세요.
25.07.29.,,,,5,가성비 좋은 제품입니다.
25.07.22.,,,,5,머 이정도면 가성비 좋은듯 아직 배터리 짱짱하고 앞으로도 별 탈없이 잘 굴러가길 ㅎ
25.07.22.,남성,163cm,63kg,1,"배터리 너무적습니다 진심 
5킬로 왕복하면 끝남
속도도 안나오고"
25.07.22.,남성,178cm,88kg,4,파워가 달리고 배터리가 빨리닳기는 하지만 가격대비 좋음.
25.07.17.,,,,5,여러분꼭사세요최곱니다
25.07.16.,,,,3,저렴한 가격에 한번쯤 타볼만 해요
25.07.15.,,,,5,배송이  빠르네요~
25.07.12.,남성,175cm,90kg,4,"출퇴근시 AU테크 킥보드를 이용하다가 운동도 겸하려고 일부러 가장 출력이 낮은 모델로 골랐습니다. 저야 목적이 운동에도 있으니 감안하겠으나 전기 자전거(?)를 희망하시는 분들은 좀더 높은 출력으로 가시는게 맞을듯해요.
평지에서는 20km/s정도 나오지만 민첩성을 기대하기 어렵습니다. 약간만 경사가 있어도 기어가 1단이라 일반 자전거보다 더 힘듭니다. 운동되고 좋더라구요.....
접이식이고 가벼워서 차량에 비치하기 유용합니다. 놀러가서 자전거도로로 한번씩 타기엔 좋아요.
예상보다 배터리 용량이 많이 적어서 충전기를 하나 더 사서 회사에도 두어야겠어요.
아! 안장은 엉망입니다. 체형/체중마다 다르겠으나 첨엔 5분만 타도 내리고 싶어집니다. 아파서 앉아있을 수가 없어서 결국 두꺼운 쿠션패드 사서 설치했습니다. 전반적인 퀄티나 마감은 괜찮습니다."
25.07.12.,,,,5,"타기 편하고 훌륭한 자전거입니다
처음 나는 전기 자전거인데 가성비가 좋고 짧은 거리에 언덕 없는 출퇴근용으로 잘 사용하고 있습니다"
25.07.11.,남성,176cm,74kg,5,"잘사용하고 있습니다
출퇴근용으로 만족합니다 
감사합니다"
25.07.10.,,,,4,잘나가고 제어도잘되고 밧데리충전도금방되요 초보인데 금방적응했어요
25.07.10.,남성,165cm,64kg,5,출퇴근용 자전거로 적당합니다
25.07.05.,남성,168cm,70kg,5,"아주 좋습니다 하지만 스로틀커버를 바꾸려고 했는데 아무리 힘을줘도 안빠져서 못바꾸고 있습니다 ㅠㅠ
시간될때 한번더 해보고 안되면 서비스매장을 가봐야될꺼 같습니다"
25.07.04.,,,,5,부드럽고 힘도 괜찮은편
25.06.30.,여성,165cm,64kg,5,감사합니다🙏 빠른배송🚚 잘쓰겠습니다 🙏
25.06.30.,,,,4,성능이 좋지는 않으나 평지에서는 그럭저럭 탈만함
25.06.27.,,,,5,친구 생일 선물로 사줬어요
25.06.19.,,,,5,"배송 빠르네요 조립 그다지 어렵지는 않군요 가격대비 만족합니다
자전거에 승차감을 묻는 질문이 좀 웃기긴하네요 ㅎ"
25.06.15.,남성,170cm,97kg,5,"그냥 타면 엉덩이 아프니 추가로 장비하세요
가성비 좋아요
동네마실용으로 딱 좋습니다"
25.06.14.,남성,178cm,88kg,3,"전체적으로 만듦 새가 나쁘지 않다. 하지만 구동계가 약하다, 모터 그런거 말고 체인 기어나 스프라킷이 정상 기능하지만 강성이 충붕하지 않아 보인다. 배송 받은 물건은 크랭크축의 기어가 휘어져 배송이 왔다. 자세히 보니 두께가 생각보다 얇아서 놀랬다. 

물론 교환 과정에서 AS응대는 만족 스러웠다 친절하기도 하고 빠릿했다. 부족한 제품을 서비스로 커버하는 느낌? 그래도 이래서 국내 업체에서 사는구나 하는 생각이 들었다. 해외배송으로 이런 물건 받았으면 속앓이만 했을 것이라 생각하면 다행이다.

PAS를 주로 타지만 전기 자전거는 신세계다. 재밌다. 배터리가 너무 빨리 닳지만 운동겸 타기엔 나쁘지 않다."
25.06.13.,,,,5,가성비 최고죠~~캠핑장에서 사용예정입니다.
25.06.10.,남성,,,5,회사에서 역까지의 단거리 타기에 엄청 좋은 듯요
25.06.08.,,,,5,너무 좋습니다 일반 자전거 타다가 카카오 바이크 타봐서 좋아서 주문 했는데 좋아요
25.06.06.,남성,178cm,76kg,1,"배터리 과하게 금방 방전됨 1시간도 못감
일주일만에 안장에 문제생김
배터리 탈부착 설계 잘 못함
바닥충격 아예 안되는 수준 너무 덜컹거림"
25.06.05.,,,,4,배터리 잔량이 자기 마음대로 바뀌는 것 빼고는 괜찮아요 전기자전거 빌려 타는 것보다 좋아요
25.06.05.,남성,167cm,67kg,5,잘 사용하고 있어요
25.06.04.,,,,5,아직까지 잘 작동되고 있고 충전도 잘됩니다. 배터리 탈착은 조금 번거로워요
