date,gender,height,weight,rating,review_text
,,,,5,BEST??첫 자전거 구매평??친구랑 주말에 속초로 여행을 가서 타려고 팝사이클 구매했어요! 4초 만에 접힌다해서 반신반의했는데 접는게 진짜 간편하고 차 트렁크에도 쉽게 들어가서 이동이 정말 편했어요~! 특히 여러 색상이 있어 내 취향대로 고를 수 있는 점도 좋았어요!장점:- 접고 이동하는게 편하다.- 색상이 너무 예쁘다. 자연에서 탈때 기분이 너무 좋다.- 사람들이 어디 자전거냐고 종종 물어본다.- 작은데 잘나간다. 전기 자전거가 아니여도 힘든 느낌이 없었다.단점:- 엉덩이가 조금 아픔 근데 제가 엉덩이 살이 별로 없어서 그런지 친구는 또 괜찮다고 했음. 사바사 일듯 합니다.????총평????이것저것 고민하기 귀찮아하는데 또 평범한건 싫은 사람들한테는 딱 맞는 자전거!접고 끌고 다니고 차에 넣고 너무 간편하고 편해요!!나중에 엄마한테도 사드릴예정입니당??
,,,,5,BEST자전거 타기 좋은 날씨라 하나 장만했어요~우연히 다른 자전거랑 같이 찍으니 디자인이유니크한게 딱 보이네요 ㅎ
,,,,4,BEST이 자전거 출퇴근용으로 딱이에요. 매우 만족합니다
,,,,5,"신세계네요! 아이들이 초등학생부터 중학생까지 있어서 가족 모두 타려고 구입했는데, 잘 선택한 것 같습니다! 폴딩이 정말 쉽고, 타는 사람의 신장에 맞추어 앞뒤간격, 안장높이, 핸들바높이 모두 조절되어 한대로도 가족 모두 충분하네요 :)접이식 자전거임을 감안하여 격한 움직임만 지양한다면 충분히 좋은 선택지라 생각합니다 :)"
,,,,5,예상보다 빠른 배송에 놀랐습니다 자전거 너무 맘에 듭니다
,,,,5,"아파트에서 자전거 보관이 어려웠는데, 팝사이클은 접어서 현관에 보관해도 공간을 거의 차지하지 않아 좋아요. 군더더기 없이 접고, 세워두고, 보관하는 전 과정이 깔끔해서 미니멀 라이프에 적합합니다."
,,,,5,아직 사용하지 못했는데 7단 이라기에 잘달려면 좋겠음니다
,,,,5,딱 봐도 감성 자전거인데 성능도 나쁘지 않음. 친구들이 어디서 샀냐고 물어봄.
,,,,5,"요즘 같은 시대에 대중교통 대신 자전거를 이용해보자는 생각으로 팝사이클을 구매했어요. 슬라이드 방식이라 접고 펼 때 번거로움이 없고, 옷에 기름 묻을 걱정도 없어서 참 마음에 들어요. 친구들이 뭐냐고 물어볼 정도로 예쁘고 실용적이라 자주 타고 다닙니다."
,,,,4,"남편이랑 캠핑을 자주 다니는데, 텐트 옆에 팝사이클 세워두면 분위기도 괜찮고 근처 마트 갈 때도 유용해요. 캠핑 용품도 이미 한바가지라 공간 차지할까봐 걱정됐는데 괜찮은 것 같아용~ 첨에 남편이 같이 쓸수있는거라고 사자고 했을 때 반대했는데 이정도면 꽤 만족하면서 제가 더 잘타고 있는 듯용 ㅎㅎㅎ"
