date,gender,height,weight,rating,review_text
25.11.24.,,,,5,배송도 빠르고 좋아요
25.11.22.,남성,168cm,76kg,5,배송 빠르고 제품 좋네요
25.11.18.,,,,5,남편이 만족해합니다
25.11.18.,남성,171cm,80kg,5,부드럽고 브레이크는 짱짱합니다.
25.11.17.,,,,5,색도예쁘고 좋네요.
25.11.17.,여성,173cm,68kg,5,"미니벨로는 처음이고
아직 밖에 나가보진 않았는데 
잘 나갈것 같습니다.
출퇴근용으로 산건데 잘산것 같아요.
한달 타보고 다시 리뷰 남길께요~~"
25.11.16.,여성,163cm,40kg,5,너무 좋았어요 빨리 와서
25.11.15.,여성,160cm,64kg,5,여자가 들기에도 가볍고 좋아요
25.11.13.,,,,5,완조립으로 해서 편하게 잘 타고 있러요 추천
25.11.11.,,,,5,역시 예상했던만큼 디자인 이쁘고 운행할 때 부드럽게 잘 갑니다.
25.11.11.,남성,171cm,62kg,5,운동용으로 구매했는데 정말 좋습니다
25.11.08.,여성,155cm,47kg,5,배송도 빠르고 예쁘네요 접이식이라 보관하기도 좋아요
25.11.07.,,,,5,"너무 잘타고다니고있어요
추워지기전에 더 많이 타야겠어요"
25.11.07.,여성,160cm,58kg,5,조립이 다 되어있어서 편햇어요 감사합니다
25.11.06.,,,,5,잘 굴러가고 아직까진 좋아용 ㅎㅎ
25.11.06.,남성,168cm,67kg,2,"첫날부터 펑크가 났는데,  결국 무상교체해주시긴 했지만 대처가 아쉬웠습니다."
25.11.05.,여성,163cm,65kg,5,배송빠르고좋습니다 잘받았습니다 감사합니다
25.11.05.,남성,168cm,68kg,5,라이부터 어른까지 잘맞음
25.11.04.,,173cm,76kg,5,"선택안함
타보니 잘나가고 좋네요"
25.11.04.,남성,182cm,80kg,5,접으면 작고 휴대하기 좋아요
25.11.02.,,,,5,너무 너무 마음에 들어요
25.11.01.,,,,5,딱 적당한 가격 좋은 품질
25.11.01.,,,,4,"가성비 좋기
타기 좋아요~"
25.10.31.,남성,135cm,72kg,5,"자전거가 너무 이뻐요
완조립으로 사니 정신건강에 좋아요"
25.10.30.,,,,4,배송 품질 만족합니다
25.10.29.,,165cm,65kg,5,"선택안함
남편이 사달라고해서 샀어요"
25.10.29.,남성,,,5,와이프랑 너무 잘타고 있어서 너무 좋아요!!
25.10.28.,,,,4,"스트림 P8과 플라이트 P8 plus 하고 완조립 시 1만5천원정도 차이나는데 부품차이가 꽤 많이 차이가 나는 것 같아요. 기존에 상위모델을 가지고 있어서 색깔때문에 스트림모델을 결정했는데, 바디와 일부 부품이 차이가 나는게 금액 설정이 좀 잘못 된듯해요. 그래도 생활 자전거로는 만족합니다."
25.10.28.,,158cm,55kg,3,"선택안함
자동차에 실고 다닐려고 샀어요."
25.10.28.,,,,4,무난하게 타기 좋아요. 조립을 신청했는데 브레이크가 이상해서 근처 샵에가서 다시 셋팅했어요~
25.10.27.,,,,5,"색상도 이쁘고 자전거는 괜찮은거 같아요...

근데 옵션으로 구매한 짐받이랑 바구니는 그냥 그래요.."
25.10.27.,남성,187cm,75kg,5,"딸아이가 타기 딱좋아요
141키도 탈수이있어요"
25.10.27.,남성,170cm,72kg,4,아버지 드릴려고 심사숙고 하다 구매 했습니다. 색상도 이쁘고 잘나간다고 합니다
25.10.27.,,,,3,보통입니다 나쁘지도 좋지도 무난히
25.10.25.,,,,5,"제품 좋은데 배송이 조금 아쉬웠어요.
제품은 두번째 구입이에요
  아주좋습니다"
25.10.25.,,,,4,아내 선물로 사줬는데 디자인 예쁘고 생각보다 승착감도 편하다고 좋아합니다.
25.10.25.,,,,5,구름성 좋고 말그대로 가성비 갑
25.10.22.,여성,158cm,43kg,4,딸아이가 좋다고 하네요
25.10.21.,,,,5,반조립으로 선택했지만 거의 바로 탈 수 있는 정도로 왓어요 굿굿
25.10.21.,남성,163cm,52kg,5,만족합니다.  좋아요
25.10.19.,,,,4,"출퇴근용으로샀습니만 마트 다닐때 더 잘사용하고있네요ㅋ

 일주일 탄 결과:
완조립으로 구매했는데 조립상태 안좋았습니다. 브레이크쪽 나사가 손으로 돌려도 술술 풀리더라구요. 반조립으로 사서 근처 매장서 조립하길 권합니다"
25.10.19.,남성,184cm,90kg,5,"배송 빠르고 가격도 좋네요, 다만 설명이 좀 부실하고 다 같이 오는데 굳이 따로 배송비를 받는거만 좀 별로네요"
25.10.19.,여성,153cm,48kg,5,날씨가 선선해져서 타고 달리면서 스트레스 해소합니다 타자전거에 비해 부드럽게 주행되고 딱히 완조립과 차이 모르겠어요
25.10.18.,남성,177cm,70kg,5,너무 귀엽고 깜찍해서 와이프가 자전거에서 엉덩이가 안떨어집니다
25.10.18.,,,,5,잘 접어서 집에 보관 가능한게 좋아요
25.10.17.,,156cm,,5,상품 만족합니다. 배송도 괜찮고 반조립도 어렵지 않았어요!
25.10.17.,,,,5,좋은 상품 감사합니다
25.10.16.,,,,5,잘접히고 조아용 ㅎㅎ
25.10.15.,,,,4,귀여운데 좀 흔들거리긴 합니다.
25.10.15.,,,,5,"빠른배송 
7단에서 6단으로는 잘 안가네요 점검받아야 될듯"
25.10.15.,,,,5,좋습니다 좋습니다 좋습니다
25.10.14.,여성,170cm,65kg,3,"스트림 P7 2번째 구매 배송도 빠르고 색상 레이싱그린 이쁘네요 ㅎㅎ 
구매하실분들은 제가 한번 심하게 격어본 결과 의미없는 완조립이라 반조립으로 주문하시고 근처매장가셔서 기어 , 브레이크 셋팅하시고 림테잎 ,튜브 교체하셔서 타시기 바랍니다."
25.10.14.,여성,160cm,52kg,5,디자인 승차감 견고함 다 좋아요. 국내 서비스도 잘 되길 바랍니다.
25.10.14.,,,,3,"바퀴는 멈춰있지만, 마음은 달리고 있어요... 아직 주행 전이랍니다ㅠ"
25.10.13.,남성,171cm,80kg,5,자동차 트렁크에 쏙 들어가요
25.10.12.,,171cm,81kg,5,가성비 좋아요^^ 타기도 편해요
25.10.12.,,,,5,저렴하니 타고다니기 좋습니다.
